"Source:","D:\NextCloud\文档\CawBMS\CawBMS.kicad_sch"
"Date:","2023/12/14 16:54:25"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","116"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C21, C22, C23","11","0.1uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C9, C10, C11, C12, C13, C14","6","0.22uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C15, C20","2","4.7uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C16","1","2.2uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C17, C18","2","1uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C19","1","10uF","C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C24","1","470pF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C25, C26, C27, C28","4","0.1uF","C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor, small symbol","",""
"CN3","1","SPI","WAFER-SH1.0-6PWB","Rick_Connector:CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB","","",""
"CN4","1","USART","WAFER-SH1.0-4PWB","Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB","","",""
"CN5","1","SWD","WAFER-SH1.0-4PWB","Rick_Connector:CONN-SMD_4P-P1.00_WAFER-SH1.0-4PWB","","",""
"CN6","1","WAFER-SH1.0-6PWB","WAFER-SH1.0-6PWB","Rick_Connector:CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB","","",""
"D1, D2, D3","3","LED","LED","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","Light emitting diode","",""
"D4, D5, D6, D7, D8","5","D_Zener_5.6V","D_Zener","Diode_SMD:D_SOD-523","Zener diode","",""
"D9","1","TVS_24V","D_TVS","Diode_SMD:D_SMA_Handsoldering","Bidirectional transient-voltage-suppression diode","",""
"D10","1","D_600V","D","Diode_SMD:D_SMA_Handsoldering","Diode","",""
"D11","1","D_100V","D","Diode_SMD:D_SOD-323_HandSoldering","Diode","",""
"D12","1","D_Zener_16V","D_Zener","Diode_SMD:D_SOD-523","Zener diode","",""
"H1, H2, H3, H4","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","Mounting Hole with connection","",""
"H5","1","B+","MountingHole_Pad","CawBMS:POWER_PAD","Mounting Hole with connection","",""
"H6","1","B-","MountingHole_Pad","CawBMS:POWER_PAD","Mounting Hole with connection","",""
"H7","1","P+","MountingHole_Pad","CawBMS:POWER_PAD","Mounting Hole with connection","",""
"H8","1","P-","MountingHole_Pad","CawBMS:POWER_PAD","Mounting Hole with connection","",""
"L1","1","39nH","L_Small","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","Inductor, small symbol","",""
"L2","1","1uH","L_Small","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","Inductor, small symbol","",""
"L3, L4, L5, L6","4","220ohm","L_Small","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","Inductor, small symbol","",""
"Q1, Q2, Q3, Q4, Q5","5","CSD13381F4","CSD13381F4","Rick_MOSFET:CSD13381F4_PICOSTAR-3_L1.0-W0.6-P0.40-S0.65-BL-1","","",""
"Q6, Q7, Q8, Q9","4","BSC0702LS","BSC0702LS","Rick_MOSFET:BSC0702LS_PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP","","",""
"Q10","1","PMOS","PMOS","Package_TO_SOT_SMD:SOT-23","P-MOSFET transistor, drain/source/gate","",""
"R1, R2, R4, R5, R8, R18, R20, R22, R24, R26, R29","11","10k","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R3, R37","2","0","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R6","1","120","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R7, R9, R10","3","510","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R12, R13, R14, R15, R16","5","28.7","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R17, R19, R21, R23, R25, R27, R30, R31, R35","9","100","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R28","1","NTC 10k","R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small US symbol","",""
"R32, R33, R34","3","0.0015","R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","Resistor, small US symbol","",""
